date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:43	112/112	---M-Z	200	added ('OK')	text/plain	etag:%2296-5ab719906dbf8-gzip%22	https://www.flow.cl/robots.txt		(from )
09:36:43	39059/39059	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202020%2012:37:08%20GMT	https://www.flow.cl/	C:/My%20Web%20Sites/flow-clone/www.flow.cl/index.html	(from )
09:36:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2010%20Dec%202020%2012:37:09%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/flow-clone/www.googletagmanager.com/gtm.05445.delayed	(from https://www.flow.cl/)
09:36:44	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5aa5a5892bf00%22	https://www.flow.cl/img/favicon.ico	C:/My%20Web%20Sites/flow-clone/www.flow.cl/img/favicon.ico	(from https://www.flow.cl/)
09:36:44	2639/2639	---M--	200	added ('OK')	image/png	etag:%22a4f-5aa5a57a10818%22	https://www.flow.cl/img/apple-icon-57x57.png	C:/My%20Web%20Sites/flow-clone/www.flow.cl/img/apple-icon-57x57.png	(from https://www.flow.cl/)
09:36:44	2711/2711	---M--	200	added ('OK')	image/png	etag:%22a97-5aa5a57d1c890%22	https://www.flow.cl/img/apple-icon-60x60.png	C:/My%20Web%20Sites/flow-clone/www.flow.cl/img/apple-icon-60x60.png	(from https://www.flow.cl/)
09:36:45	3055/3055	---M--	200	added ('OK')	image/png	etag:%22bef-5aa5a57dc3c58%22	https://www.flow.cl/img/apple-icon-72x72.png	C:/My%20Web%20Sites/flow-clone/www.flow.cl/img/apple-icon-72x72.png	(from https://www.flow.cl/)
09:36:45	3257/3257	---M--	200	added ('OK')	image/png	etag:%22cb9-5aa5a57f4eca8%22	https://www.flow.cl/img/apple-icon-76x76.png	C:/My%20Web%20Sites/flow-clone/www.flow.cl/img/apple-icon-76x76.png	(from https://www.flow.cl/)
09:36:45	4748/4748	---M--	200	added ('OK')	image/png	etag:%22128c-5aa5a57d3fef8%22	https://www.flow.cl/img/apple-icon-114x114.png	C:/My%20Web%20Sites/flow-clone/www.flow.cl/img/apple-icon-114x114.png	(from https://www.flow.cl/)
09:36:45	5038/5038	---M--	200	added ('OK')	image/png	etag:%2213ae-5aa5a57ff9338%22	https://www.flow.cl/img/apple-icon-120x120.png	C:/My%20Web%20Sites/flow-clone/www.flow.cl/img/apple-icon-120x120.png	(from https://www.flow.cl/)
09:36:46	6041/6041	---M--	200	added ('OK')	image/png	etag:%221799-5aa5a57d61238%22	https://www.flow.cl/img/apple-icon-144x144.png	C:/My%20Web%20Sites/flow-clone/www.flow.cl/img/apple-icon-144x144.png	(from https://www.flow.cl/)
